@relation InstanceResultListener

@attribute Key_Dataset {iris}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48}
@attribute Key_Scheme_options {'-C 0.25 -M 2'}
@attribute Key_Scheme_version_ID {-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary {'Number of leaves: 41\nSize of the tree: 81\n','Number of leaves: 42\nSize of the tree: 83\n','Number of leaves: 39\nSize of the tree: 77\n','Number of leaves: 32\nSize of the tree: 63\n','Number of leaves: 36\nSize of the tree: 71\n','Number of leaves: 31\nSize of the tree: 61\n','Number of leaves: 40\nSize of the tree: 79\n','Number of leaves: 37\nSize of the tree: 73\n','Number of leaves: 30\nSize of the tree: 59\n','Number of leaves: 43\nSize of the tree: 85\n','Number of leaves: 46\nSize of the tree: 91\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 35\nSize of the tree: 69\n','Number of leaves: 34\nSize of the tree: 67\n','Number of leaves: 51\nSize of the tree: 101\n','Number of leaves: 45\nSize of the tree: 89\n','Number of leaves: 38\nSize of the tree: 75\n','Number of leaves: 47\nSize of the tree: 93\n','Number of leaves: 44\nSize of the tree: 87\n','Number of leaves: 49\nSize of the tree: 97\n','Number of leaves: 33\nSize of the tree: 65\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

iris,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,29,15,0,65.909091,34.090909,0,0.453642,0.098296,0.24691,66.052453,90.945531,92.966523,7555.66182,-7462.695297,2.112876,171.719587,-169.606711,34.451829,0.782996,1572.729791,0,0,0.023256,1,0.976744,42,1,1,0,0,0,0.906977,0.659091,0.194713,0.805287,0.340909,0.582155,0.659091,0.61162,0.754646,0.006,0.001,0.005813,0.0001,29105,25974,4563,'Number of leaves: 41\nSize of the tree: 81\n',81,41,41
iris,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,29,15,0,65.909091,34.090909,0,0.467742,0.102251,0.253359,67.669914,91.737266,97.899249,8624.745409,-8526.84616,2.224983,196.016941,-193.791958,36.416406,0.827646,1671.671906,0.5,1,0,0,1,42,0.5,1,1,0.5,0.666667,0.72619,0.659091,0.190158,0.809842,0.340909,0.600922,0.659091,0.623106,0.765458,0.006,0,0.005846,0.000095,29746,25974,4563,'Number of leaves: 42\nSize of the tree: 83\n',83,42,42
iris,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,27,17,0,61.363636,38.636364,0,0.364486,0.108076,0.264261,72.521078,97.179666,94.616812,9705.549556,-9610.932744,2.150382,220.580672,-218.43029,26.353232,0.598937,1205.24907,0,0,0,0,1,42,1,2,0,0,0,0.654762,0.613636,0.206073,0.793927,0.386364,0.505342,0.613636,0.553057,0.689699,0.006,0,0.005625,0.000094,27823,25974,4563,'Number of leaves: 39\nSize of the tree: 77\n',77,39,39
iris,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,24,20,0,54.545455,45.454545,0,0.280458,0.120926,0.277013,81.143228,101.869186,94.616812,8644.917486,-8550.300674,2.150382,196.475397,-194.325015,22.324326,0.507371,1020.98949,0.5,1,0,0,1,42,0.5,1,1,0.5,0.666667,0.827381,0.545455,0.239579,0.760421,0.454545,0.520979,0.545455,0.527984,0.702132,0.024,0,0.005181,0.000091,23336,25974,4563,'Number of leaves: 32\nSize of the tree: 63\n',63,32,32
iris,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,24,20,0,54.545455,45.454545,0,0.256128,0.115268,0.289553,77.373085,106.52053,94.833094,12923.196899,-12828.363805,2.155298,293.70902,-291.553723,20.495692,0.465811,937.649937,0,0,0.023256,1,0.976744,42,1,1,0,0,0,0.732558,0.545455,0.285537,0.714463,0.454545,0.517857,0.545455,0.516711,0.60415,0.005,0,0.00486,0.000094,29105,25974,4563,'Number of leaves: 41\nSize of the tree: 81\n',81,41,41
iris,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,23,21,0,52.272727,47.727273,0,0.261981,0.123721,0.282553,83.046618,103.945399,94.833094,8642.776462,-8547.943368,2.155298,196.426738,-194.27144,22.67706,0.515388,1037.444541,1,1,0.023256,1,0.976744,42,0,0,0.5,1,0.666667,0.988372,0.522727,0.208741,0.791259,0.477273,0.479167,0.522727,0.498183,0.76189,0.036,0,0.00555,0.0001,25900,25974,4563,'Number of leaves: 36\nSize of the tree: 71\n',71,36,36
iris,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,23,21,0,52.272727,47.727273,0,0.202761,0.118944,0.28099,79.840581,103.370129,94.833094,8639.176196,-8544.343103,2.155298,196.344914,-194.189616,20.4338,0.464405,934.818461,0,0,0,0,1,43,1,1,0,0,0,0.174419,0.522727,0.294436,0.705564,0.477273,0.433386,0.522727,0.472902,0.659759,0.025,0,0.005493,0.000095,27823,25974,4563,'Number of leaves: 39\nSize of the tree: 77\n',77,39,39
iris,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,29,15,0,65.909091,34.090909,0,0.47073,0.105331,0.244872,70.773721,90.186386,93.501923,8629.796143,-8536.29422,2.125044,196.131731,-194.006687,28.829242,0.65521,1316.803272,0,0,0.023256,1,0.976744,42,1,1,0,0,0,0.604651,0.659091,0.125614,0.874386,0.340909,0.620909,0.659091,0.639205,0.772262,0.005,0,0.005135,0.000092,22695,25974,4563,'Number of leaves: 31\nSize of the tree: 61\n',61,31,31
iris,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,28,16,0,63.636364,36.363636,0,0.399829,0.103829,0.258233,69.764598,95.107394,93.501923,7562.023513,-7468.521591,2.125044,171.864171,-169.739127,27.207632,0.618355,1242.734686,0,0,0,0,1,43,1,1,0,0,0,0.825581,0.636364,0.214317,0.785683,0.363636,0.527066,0.636364,0.576285,0.727722,0.035,0,0.005793,0.000095,28464,25974,4563,'Number of leaves: 40\nSize of the tree: 79\n',79,40,40
